clim_project,model,member,horizon,scenario,stats,spatial_ref,prcp,tavg
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp126,mean,0,6.303652809,2.133903503
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp245,mean,0,,
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp370,mean,0,2.07033572,2.340774536
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp585,mean,0,,
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,far,ssp126,mean,0,3.221827612,1.273347855
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,far,ssp245,mean,0,7.054870764,2.597932816
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,far,ssp370,mean,0,8.265273253,3.84485054
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,far,ssp585,mean,0,,
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp126,mean,0,6.601046284,1.243721008
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp245,mean,0,3.654245277,1.566511154
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp370,mean,0,4.172901826,1.925971985
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp585,mean,0,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp126,mean,0,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp245,mean,0,-1.979249135,3.084331512
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp370,mean,0,-12.57482951,3.947338104
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,far,ssp585,mean,0,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp126,mean,0,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp245,mean,0,-5.458560773,1.950334549
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp370,mean,0,-1.246579719,1.833293915
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp585,mean,0,,
cmip6,NCC/NorESM2-LM,r1i1p1f1,far,ssp126,mean,0,,
cmip6,NCC/NorESM2-LM,r1i1p1f1,far,ssp245,mean,0,5.62268059,1.944141388
cmip6,NCC/NorESM2-LM,r1i1p1f1,far,ssp370,mean,0,5.24725986,2.789596558
cmip6,NCC/NorESM2-LM,r1i1p1f1,far,ssp585,mean,0,4.415293001,3.835767746
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp126,mean,0,,
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp245,mean,0,7.465262795,1.269598007
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp370,mean,0,6.384741521,1.394973755
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp585,mean,0,5.109174074,1.649808884
cmip6,NCC/NorESM2-MM,r1i1p1f1,far,ssp126,mean,0,-0.954508648,1.283443451
cmip6,NCC/NorESM2-MM,r1i1p1f1,far,ssp245,mean,0,-4.280288246,2.265071869
cmip6,NCC/NorESM2-MM,r1i1p1f1,far,ssp370,mean,0,-7.012740375,3.348777771
cmip6,NCC/NorESM2-MM,r1i1p1f1,far,ssp585,mean,0,-8.028999353,4.40719986
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp126,mean,0,-0.056216103,1.171154022
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp245,mean,0,-2.601669589,1.577777863
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp370,mean,0,-1.962903198,1.769275665
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp585,mean,0,-4.039986252,2.165943146
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,far,ssp126,mean,0,3.23912897,2.15089035
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,far,ssp245,mean,0,-2.941523292,3.018760681
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,far,ssp370,mean,0,-17.23923004,4.134677887
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,far,ssp585,mean,0,-21.30154755,5.1236763
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp126,mean,0,0.906855038,1.837221146
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp245,mean,0,-2.39909483,2.047847748
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp370,mean,0,-5.835598131,2.017261505
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp585,mean,0,-11.18660438,2.414054871
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,far,ssp126,mean,0,2.203286348,1.140665054
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,far,ssp245,mean,0,-0.203737623,2.263999939
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,far,ssp370,mean,0,-6.724668843,3.561958313
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,far,ssp585,mean,0,-6.592604391,3.961582184
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp126,mean,0,9.580313769,1.077915192
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp245,mean,0,-8.554325609,1.503955841
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp370,mean,0,-1.078415757,1.93429184
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp585,mean,0,-2.215231876,1.83975029
